player_club_callup_id,player_id,club_id,team,club_name_at_source,club_rule,is_on_loan,parent_club_id,loan_club_id,club_source_url,confidence,notes
pc_wc2026_b808f8be,p_arg_marcos_senesi_23e61c4b,c_bournemouth_39b029b6,Argentina,Bournemouth,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_109fdbb9,p_aut_dejan_ljubicic_e4b92483,c_schalke_04_aa80f339,Austria,Schalke 04,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_4287aec6,p_bih_mladen_jurkas_7dd698f1,c_borac_banja_luka_0d0962ee,Bosnia-Herzegovina,Borac Banja Luka,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_31fb9ae4,p_bih_arjan_malic_36d2d9a8,c_sturm_graz_0596817b,Bosnia-Herzegovina,Sturm Graz,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_25c41cc1,p_bra_ederson_silva_b97cfdca,c_atalanta_f8d83567,Brazil,Atalanta,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_e084aa69,p_can_jayden_nelson_0bf614a8,c_austin_fc_2ef8ba67,Canada,Austin FC,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_4935506a,p_cze_matej_kovar_e022bdce,c_psv_eindhoven_143e5a85,Czechia,PSV Eindhoven,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_edafe6d5,p_cze_pavel_sulc_da22eec3,c_lyon_438a3fab,Czechia,Lyon,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_2e43fc92,p_eng_trevoh_chalobah_10f08bc4,c_chelsea_3635e19c,England,Chelsea,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_c8795467,p_ger_nadiem_amiri_5a1a2651,c_mainz_22831aa9,Germany,Mainz 05,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_17b22217,p_ger_assan_ouedraogo_4c6134e2,c_rb_leipzig_e10cc5a3,Germany,RB Leipzig,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_7b569fe9,p_hai_garven_metusala_665742b3,c_colorado_springs_switchbacks_fc_b6effa4d,Haiti,Colorado Springs Switchbacks FC,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_0280f6eb,p_irn_shahriyar_moghanlou_434f2302,c_kalba_b92240e8,Iran,Kalba,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_4e7e3152,p_irq_ahmed_maknzi_1ce7dd2d,c_al_karma_24e71577,Iraq,Al-Karma,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_e50a4816,p_civ_christopher_operi_dfe23608,c_istanbul_basaksehir_eda9bc84,Ivory Coast,İstanbul Başakşehir,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_1dc80e17,p_jpn_shuto_machino_90ff7b38,c_borussia_monchengladbach_e9b82a3e,Japan,Borussia Mönchengladbach,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_b440b2b0,p_jor_mohammad_taha_fd5d6fec,c_al_hussein_7234b0cf,Jordan,Al-Hussein,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_dbabc681,p_mar_marwane_saadane_3a0c3536,c_al_fateh_51013db3,Morocco,Al-Fateh,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_2f43e823,p_mar_amine_sbai_ca384cd5,c_angers_df67ea45,Morocco,Angers,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_e021a709,p_ned_lutsharel_geertruida_b091abd8,c_sunderland_4c3969a1,Netherlands,Sunderland,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_3df2120b,p_nzl_logan_rogerson_3ff8968e,c_auckland_fc_a034ca43,New Zealand,Auckland FC,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_421e4b10,p_ksa_sultan_mandash_37fed0c4,c_al_hilal_c3621aa5,Saudi Arabia,Al-Hilal,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_c13cfcf8,p_sco_tyler_fletcher_57f94bad,c_manchester_united_14c38c14,Scotland,Manchester United,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_35d8946d,p_kor_cho_wi_je_f44a7c6c,c_jeonbuk_hyundai_motors_cf0b1d05,South Korea,Jeonbuk Hyundai Motors,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_5ffe9bc4,p_swe_herman_johansson_91025fe3,c_fc_dallas_00dc1812,Sweden,FC Dallas,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_598f1037,p_uzb_odiljon_hamrobekov_d3563873,c_tractor_b739a166,Uzbekistan,Tractor,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
pc_wc2026_c4bbe3ce,p_uzb_ruslanbek_jiyanov_92e8c31a,c_navbahor_namangan_294bc8dd,Uzbekistan,Navbahor Namangan,club at final-squad announcement (Wikipedia),unknown,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,medium,
